,Goods Location,Product Name,Discount Price,Product Price,Product Discount,Reviews
95,,"Samsung Galaxy A06 6.7"" 4GB RAM/128GB ROM Android 14 - Light Blue","₦ 155,800","₦ 300,000",,5 out of 5(3)
96,,"Tecno Pop 9 6.67"" 3GB RAM / 128GB ROM Android 14 -White","₦ 133,300","₦ 200,000",,4.5 out of 5(10)
97,,"ZTE Nubia V60 Design 6GB / 256GB 6.6'' FHD+, 50MP Camera - Blue","₦ 174,230","₦ 300,000",,4.8 out of 5(23)
98,,Realme Note 50 Dual SIM  3GB RAM 64GB 4G,"₦ 116,900","₦ 139,500",,4.5 out of 5(11)
99,,"Samsung Galaxy A24 6.5"" 6GB RAM/128GB ROM Android 13  - Black + Free Backpack","₦ 316,999","₦ 350,000",,3.7 out of 5(3)
100,,"Tecno CAMON 30 6.78"" 8GB RAM/256GB ROM Android 14 - Dark","₦ 331,855","₦ 390,000",,4.6 out of 5(7)
101,,"ZTE Blade A55, 4GB RAM + 128GB ROM, 6.6” HD+, 5000mAh - Black","₦ 121,445","₦ 200,000",,3.9 out of 5(16)
102,,"Samsung Galaxy A06 6.7"" 4GB RAM/64GB ROM Android 14 - Black","₦ 144,270","₦ 200,000",,
103,,Realme Note 50 Dual SIM  4GB RAM 128GB 4G,"₦ 134,900","₦ 159,900",,4 out of 5(19)
104,,"Samsung Galaxy A06 6.7"" 4GB RAM / 64GB ROM Android 14 - Black","₦ 144,270","₦ 250,000",,4.5 out of 5(2)
105,,"Samsung Galaxy A05 6.7"" 4GB RAM/64GB ROM Android 13 - Light Green","₦ 122,000","₦ 135,000",,4.1 out of 5(49)
106,,XIAOMI Redmi 14C 6.88'' 6GB RAM/128GB ROM Android 14 - Sage Green,"₦ 157,320","₦ 350,000",,
107,,"AGM H6 Leather Ultra-Thin Rugged Smartphone 6.6"" 16GB RAM/256GB Android 13 NFC - Black","₦ 272,669","₦ 304,386",,4.3 out of 5(44)
108,,"Poco C61 6.71"" 4GB RAM / 128GB ROM Android 14 - Black","₦ 126,600","₦ 700,000",,1 out of 5(1)
109,,Nokia T20 10.4” 4GB RAM/64GB ROM Android 11- Ocean Blue,"₦ 169,990","₦ 200,000",,4.4 out of 5(21)
110,,"Poco C61 6.71"" 3GB RAM / 64GB ROM Android 14 - Black","₦ 110,210","₦ 700,000",,1 out of 5(1)
111,,"Tecno CAMON 30 6.78"" 8GB RAM/256GB ROM Android 14 - White","₦ 331,855","₦ 390,000",,4.7 out of 5(3)
112,,"Tecno Pop 9 6.67"" 3GB RAM / 128GB ROM Android 14 -Black","₦ 133,300","₦ 200,000",,3.7 out of 5(3)
113,,XIAOMI Redmi 14C 6.88'' 6GB RAM/128GB ROM Android 14 -Midnight Black,"₦ 157,320","₦ 250,000",,3.3 out of 5(9)
114,,"FreeYond M5,4GB+128GB,4G 6.52"" Smartphone 5000mAh,Grey","₦ 131,600","₦ 199,000",,3.8 out of 5(244)
